username,followers_count,likes_sum,reposts_sum,views_sum
IvankaTrump,11194029,210500,18492,10742263
sabqorg,11161365,65,28,163323
sonamakapoor,11119067,0,0,0
Pixar,11108185,21671,3354,782433
Ludmilla,11102560,100317,3455,3690784
harbhajan_singh,11083062,47393,2847,6342374
Ubisoft,11067146,3990,440,3370742
DUALIPA,11056359,268323,16403,7583695
ashwinravi99,11045573,51091,2324,1913617
tvglobo,11022982,6984,988,127485
enriqueiglesias,11002311,2080,479,116289
BLACKPINK,10997568,225122,69999,3510278
Cobratate,10980448,24816,1975,2012202
chetan_bhagat,10977229,3251,169,496140
cz_binance,10952232,22126,3031,6408065
FarOutAkhtar,10929525,6273,796,273917
Trevornoah,10917619,7843,1797,887516
XCreators,10907428,7578,1650,32412190
NCTsmtown_DREAM,10873652,518721,218245,8108806
thekiranbedi,10844224,477,95,146253
SamsungMobile,10840336,32486,14628,687478
ClaudiaLeitte,10839548,1820,287,59629
SMTOWNGLOBAL,10820694,98083,31674,1862982
hardikpandya7,10791494,318912,15448,6698903
karolg,10751327,0,0,0
ObamaWhiteHouse,10728955,0,0,0
muftimenk,10701406,53170,12872,911661
lopezobrador_,10696219,173469,60481,22520113
funnyordie,10635850,819,76,347189
TheOnion,10608269,9663,736,1464502
rioferdy5,10602336,94341,8509,4590800
Crunchyroll,10594685,7348,737,411691
5SOS,10576963,75564,13233,1057914
MeekMill,10481919,7061,1274,460354
beINSPORTS,10456133,877,31,147550
EmmanuelMacron,10434445,99784,18564,10606135
TheNotoriousMMA,10431002,136659,14019,4164315
vinijr,10388290,1270335,68012,77572189
victoriabeckham,10379172,1608,335,234409
guardian,10373397,0,0,0
Carles5puyol,10365185,354933,36626,6640007
Flamengo,10354529,83343,8148,1329694
Swamy39,10345532,4890,927,625233
LucianoHuck,10338843,3217,179,797455
rustyrockets,10287702,21497,1915,788039
serenawilliams,10278379,39062,2878,54821243
jimmykimmel,10276557,0,0,0
PTIofficial,10260543,7174,2323,71680
Android,10258424,1150,94,216581
Riteishd,10253699,7137,724,270678
SarahKSilverman,10247801,1416,713,847136
marcosmion,10225453,0,0,0
CalvinHarris,10219884,42479,7175,8726738
HashKSA,10197569,556,94,370929
Huawei,10191657,2037,262,15197447
Alhilal_FC,10182365,23933,5483,2014605
goal,10172162,13552,786,331179
BBCSport,10154575,917,71,651406
ciara,10128623,31480,5498,1060064
billmaher,10123364,46917,6690,6514627
TEDTalks,10110047,1434,416,591713
LulaOficial,10097350,141467,24964,1989799
Disney,10084075,126876,17714,16524554
burnaboy,10035005,176884,25159,6415098
IGN,10028766,1596,125,202542
HHShkMohd,10013505,59229,18243,6708096
mindykaling,9989304,0,0,0
HuffPost,9955299,149,60,97070
lemondefr,9945766,0,0,0
business,9937865,274,85,90348
luansantana,9936949,41936,8851,1346062
Apple,9935943,0,0,0
Byoussef,9917638,22814,5171,692657
Meta,9917137,7474,1816,1907372
paulpogba,9888071,1126899,104712,28636862
BruMarquezine,9886657,0,0,0
LouisVuitton,9878133,5824,1982,307686
JBALVIN,9860170,73819,3484,1921956
Music,9833359,349,67,115230
Usher,9820659,24286,2747,851580
TechCrunch,9810741,460,89,188965
JoelOsteen,9782678,17670,2619,253177
Samanthaprabhu2,9767917,40468,4487,2479014
143redangel,9764746,69314,4417,5527835
amrdiab,9744608,12937,1280,2223120
vegetta777,9740138,30937,1518,780358
GermanGarmendia,9733034,0,0,0
ashleytisdale,9718099,0,0,0
VineCreators,9707533,0,0,0
NCTsmtown_127,9705262,79590,43270,2974742
AppleMusic,9695891,8796,2075,321737
KingSalman,9670789,731602,514625,127257009
TimesNow,9642771,17,8,4338
AJEnglish,9639296,1025,397,154307
LittleMix,9631104,55362,10148,1162262
Starbucks,9624355,0,0,0
ekrem_imamoglu,9593142,9383,941,125064
Nike,9569210,68428,8779,5986831
Twitch,9558056,30622,1530,2127745
xSqueeZie,9504351,291635,22918,40236972
ahelmy,9435618,12010,735,689281
Ludacris,9427007,2455,327,165549
SidMalhotra,9426771,28339,1632,1626215
juventusfc,9421857,17702,957,282671
EugenioDerbez,9404366,5963,381,326776
maddow,9395492,0,0,0
KimberlyLoaiza_,9386605,0,0,0
tylerthecreator,9382587,91769,7127,4112358
Pharrell,9374283,73986,14936,1761325
MadhuriDixit,9372405,21508,1472,753731
salman_alodah,9363930,0,0,0
ABdeVilliers17,9363836,91241,6164,836423
Starbucks_J,9348677,90437,14633,18934733
kilicdarogluk,9343720,16910,3123,1693455
CBSNews,9303640,445,108,165426
yousuck2020,9303269,24750,1621,6393486
NBCNews,9302946,1120,289,240754
Dior,9298917,14643,3279,403597
ChouhanShivraj,9290532,1381,224,24786
NajwaShihab,9286206,0,0,0
anirudhofficial,9258270,50930,4571,1566328
XabiAlonso,9216949,36141,1748,1462339
EASPORTSFC,9200635,15688,1676,1887741
JKCorden,9186142,0,0,0
UberSoc,9175615,19,6,38436
kata2bijak,9133823,3252,790,598739
rafinhabastos,9129695,38849,1459,2617206
ESPNNBA,9120764,51188,4727,3166489
JUANES,9115217,3636,464,159033
MarcAnthony,9048999,4750,479,227628
BBCArabic,8878176,1328,151,185605
matsu_bouzu,8871479,212096,10877,40307655
Ricardo_Arjona,8863662,15494,2073,677194
Tatawerneck,8796207,20373,367,559294
QueenRania,8756023,28411,2988,1805593
iamwill,8749146,910,136,852902
fatihportakal,8712340,10313,627,901720
showdavida,8594539,728,81,58168
France24_ar,8586472,151,10,33761
Luke5SOS,8484099,0,0,0
jorgeemateus,8319511,753,83,57780
SimonCowell,8311858,0,0,0
mashable,8180571,7,5,18920
Sethrogen,8175508,0,0,0
SamuelLJackson,8170671,83742,6558,1431931
the_hindu,8162783,16,4,4348
NaguibSawiris,8128724,1824,150,557761
billieeilish,8100094,72186,10295,13834511
DishPatani,8080324,9580,404,136674
cuervotinelli,8066729,1778,69,864923
ENHYPEN,8063478,225072,60959,13196309
SpeakerPelosi,8062921,17668,4137,678229
colesprouse,8050771,0,0,0
El_Universal_Mx,8034983,24,9,7652
